ID,Area,City,Restaurant,Price,Avg ratings,Total ratings,Food type,Address,Delivery time
1299,Film Nagar,Hyderabad,So. The Sky Kitchen,800,2.9,80,"Mughlai,North Indian,Chinese,Thai,Asian",Near Apollo Health City Gate,90
1547,Masab Tank,Hyderabad,Dine Hill,400,4.1,500,"Arabian,Biryani,North Indian,Chinese",Ahmed Nagar,49
1590,Banjara Hills,Hyderabad,Sarvi Restaurant,400,4.1,5000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Road 11,56
1593,Banjara Hills,Hyderabad,Sarvi Bakery,250,4.1,100,"Desserts,Fast Food,Bakery",Opposite Care Hospital Road 11 Banjara Hills,58
1844,Punjagutta,Hyderabad,Chinese Pavilion,850,4.3,500,"Chinese,Seafood",Nagarjuna Circle,64
1848,Banjara Hills,Hyderabad,Chef Inam'S Steak House,1200,4.2,100,"Steakhouse,American",Sri Ram Nagar Colony Banjara Hills,69
2344,Ramgopalpet,Hyderabad,Aangan - Yatri Nivas,500,4.1,100,North Indian  South Indian,S P Road,66
2348,Kalasiguda,Hyderabad,Bluefox,800,4.2,1000,Biryani  North Indian  Chinese  Tandoor,Sd Road,68
2770,Kalasiguda,Hyderabad,Flavours Of Taj Mahal Hotel,300,4.2,1000,North Indian  Chinese  Desserts  Continental  South Indian,Sd Road,57
2776,Adarsh Nagar,Hyderabad,Ohri'S Eatmor,600,4.2,500,"Ice Cream,Beverages,Desserts,Chaat,Italian",New Mla Quarters,37
2777,Adarsh Nagar,Hyderabad,Ohri'S Ming'S Court,500,4,1000,Chinese,New Mla Quarters,39
2795,Himayatnagar,Hyderabad,Minerva Coffee Shop,500,4.3,1000,"South Indian,North Indian,Chinese",Himayath Nagar Road,30
2796,Himayatnagar,Hyderabad,Bluefox,800,4.1,1000,"Biryani,North Indian,Chinese,Tandoor",Himayath Nagar Road,36
3324,Punjagutta,Hyderabad,Srikanya,250,4.1,1000,"Andhra,Seafood",Punjagutta Road,56
3549,Banjara Hills,Hyderabad,Keshav Reddy Sweets,150,4.2,500,"Sweets,Bakery,Desserts,Fast Food,Street Food,Chaat",Road No 2,65
3914,Karkhana,Hyderabad,Oh So Stoned,300,3.9,100,Ice Cream  Desserts,Vikrampuri Colony,68
4138,Koti,Hyderabad,Grand Hotel,300,4.1,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Abids Road,24
4188,Dilsukhnagar,Hyderabad,Tipsy Topsy,250,3.7,500,Chinese  Italian  Desserts  Bakery  Fast Food,Dilsukhnagar Main Road,39
4248,Nagole,Hyderabad,Hotel Swagath Grand - Dhanturi Group Of Hotels,300,3.9,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",Alkapuri X Roads,67
4252,Chandrapuri Colony,Hyderabad,Hotel Sitara Grand - Dhanturi Group Of Hotels,300,3.8,1000,"Biryani,Chinese,South Indian,North Indian,Tandoor",L B Nagar,70
4256,Kothapet,Hyderabad,Nakshatra Inn Multi Cuisine Restaurant,300,3.8,100,"Biryani,Chinese,North Indian,South Indian",Lakshmi Nagar Colony,52
4320,Narayanguda,Hyderabad,Mehfil,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",Narayanguda,25
4614,Himayatnagar,Hyderabad,Crystal Restaurant,350,3.9,1000,"Biryani,North Indian,Chinese",Rtc X Roads,34
4650,New Nallakunta,Hyderabad,Bawarchi,300,3.9,10000,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",Rtc X Roads,27
4774,Adikmet,Hyderabad,Us Pizza,200,3.2,20,"Italian,Pizzas,Fast Food,Beverages,Desserts",O.U Road,48
4776,Amberpet,Hyderabad,Surabhi Grand,300,4,500,"Mughlai,North Indian,Chinese,Seafood",Tilaknagar,45
4781,Himayatnagar,Hyderabad,Bluedragon By Mandilicious,300,4.2,20,Chinese,Himayathnagar,34
4783,Adikmet,Hyderabad,Frosty Den,200,2.2,20,"Ice Cream,Pizzas,Fast Food,Beverages,Desserts",O.U Road,43
4810,Banjara Hills,Hyderabad,Sitara Grand - Nizami Pakwaan,300,3.6,100,"Biryani,Chinese,South Indian,North Indian,Tandoor",Road No 12,62
5285,Lakdikapul,Hyderabad,Chicha'S,200,3.8,500,"Biryani,Hyderabadi,Indian,Street Food",P & T Officers Colony,40
5538,Kothapet,Hyderabad,Kinara Grand,750,3.9,1000,"North Indian,Chinese,Biryani",Ashta Laxmi Temple,58
5862,Basheer Bagh,Hyderabad,Meghacity,500,4.4,1000,"North Indian,Chinese",Basheerbagh X Road,32
6577,Punjagutta,Hyderabad,Zyqa Restaurant,200,4,500,"North Indian,Biryani,Chinese",Punjagutta,55
6585,Himayatnagar,Hyderabad,Sahara Bakers,200,3.8,500,"Bakery,Pizzas",Chikadpally,34
6745,Koti,Hyderabad,Tibbs Frankie,150,4.3,100,Snacks,Hanuman Tekdi Road,29
6851,Abids,Hyderabad,Agrawala Sweets,250,4.3,100,"Sweets,Fast Food",Jn Road,27
7002,Himayatnagar,Hyderabad,Angaara,250,3.9,100,"Indian,Chinese,Tandoor",Street 4,33
7412,Khairtabad,Hyderabad,Paradise Biryani,400,3.9,100,Biryani  North Indian  Chinese,Imax Road,48
8093,Punjagutta,Hyderabad,Akson Restaurant,250,4.3,1000,"North Indian,Biryani,Kerala",Panjagutta Road,53
8205,Habsiguda,Hyderabad,Taste Of India,600,4.2,20,"North Indian,Chinese,Continental",Habsiguda Main Road,67
8213,Uppal,Hyderabad,Crunchy'S,150,3.8,20,"Italian,American",Uppal Ring Road,72
8688,Punjagutta,Hyderabad,Friends Shawarma,200,4.3,100,Lebanese,Road No 3,61
9014,West Marredpally,Hyderabad,Triple A Bakery,100,3.9,100,Italian  Bakery,West Marredpally Road,70
