restaurant,Area,AverageRating
"Wallonia Waffle Co.","Himayath Nagar",5
"Splurge - Thickshakes And Milkshakes","Himayath Nagar",5
"The Liege Waffles","Himayath Nagar",5
"Zorro - Milkshakes And Thickshakes","Himayath Nagar",5
"Snack House","Nallakunta & Vidyanagar",4.900000095367432
"Hotel Indu Deluxe",Khairtabad,4.900000095367432
"Us Live Pops",Khairtabad,4.800000190734863
"Rayudu Juice Shop",Ameerpet,4.800000190734863
"The Bakers Dozen",Ameerpet,4.699999809265137
"Govi'S Organic Foods","Banjara Hills",4.699999809265137
