City,Food_type,OrderCount
Hyderabad,"South Indian",76
Hyderabad,Indian,38
Hyderabad,Chinese,31
Hyderabad,"Fast Food",18
Hyderabad,Beverages,18
Hyderabad,"North Indian",18
Hyderabad,Pizzas,17
Hyderabad,Sweets,14
Hyderabad,Desserts,13
Hyderabad,"North Indian,Chinese,Biryani",11
Hyderabad,"North Indian,Chinese",11
Hyderabad,Bakery,11
Hyderabad,Arabian,10
Hyderabad,"Ice Cream,Desserts",9
Hyderabad,"Ice Cream",9
Hyderabad,"Biryani,North Indian,Chinese",8
Hyderabad,Biryani,8
Hyderabad,"Bakery  Desserts",7
Hyderabad,"Chinese,Fast Food",6
Hyderabad,"Bakery,Desserts",6
Hyderabad,"Indian,Chinese",6
Hyderabad,"Ice Cream  Desserts",5
Hyderabad,"Biryani,Chinese,South Indian,North Indian,Tandoor",5
Hyderabad,Snacks,5
Hyderabad,"Beverages,Snacks",5
Hyderabad,"Sweets,Snacks",5
Hyderabad,"North Indian,Biryani,Chinese",4
Hyderabad,"Biryani,Chinese",4
Hyderabad,"Desserts  Beverages",4
Hyderabad,"Desserts  Bakery",4
Hyderabad,"Sweets,Desserts",4
Hyderabad,"Chinese,North Indian",4
Hyderabad,"Beverages,Desserts",4
Hyderabad,"Healthy Food",4
Hyderabad,Continental,4
Hyderabad,"North Indian  South Indian",3
Hyderabad,"South Indian,North Indian,Chinese",3
Hyderabad,"Sweets,Fast Food",3
Hyderabad,"American,Fast Food",3
Hyderabad,"North Indian,South Indian",3
Hyderabad,"South Indian,North Indian",3
Hyderabad,"Indian,Fast Food",3
Hyderabad,"Desserts,Bakery",3
Hyderabad,"Biryani,Tandoor,North Indian,Chinese,Kebabs,Mughlai",3
Hyderabad,"Ice Cream,Desserts,Beverages",3
Hyderabad,"Chinese,Indian",3
Hyderabad,"Indian,Biryani,Chinese",3
Hyderabad,"South Indian,Indian",3
Hyderabad,"Desserts,Beverages",3
Hyderabad,"Indian,Biryani",3
Hyderabad,"Beverages,Fast Food",3
Hyderabad,"Chinese,Snacks",3
Hyderabad,"Indian  Chinese",3
Hyderabad,"North Indian,Chinese,South Indian",3
Hyderabad,"Biryani,Tandoor,Chinese,Indian,Desserts,Kebabs,Mughlai",2
Hyderabad,"Biryani,Tandoor,Chinese,Indian,Kebabs,Desserts",2
Hyderabad,"Indian,Chinese,Tandoor",2
Hyderabad,"Biryani  North Indian  Chinese",2
Hyderabad,Lebanese,2
Hyderabad,"Biryani,Andhra,Rayalaseema,South Indian,North Indian,Chinese",2
Hyderabad,"Chinese,Biryani",2
Hyderabad,"Biryani,Chinese,North Indian",2
