Area,AverageDeliveryTime
"Film Nagar",78.7500
"Banjara Hills",61.7168
Punjagutta,60.2353
Ramgopalpet,60.3333
Kalasiguda,60.3333
Karkhana,68.2500
Nagole,70.2500
"Chandrapuri Colony",70.0000
Uppal,64.1290
"West Marredpally",73.0000
"Madhura Nagar",63.0000
"Jyothi Nagar",65.0000
Tarnaka,61.1667
"Toli Chowki",66.7619
"Bn Reddy Nagar",61.5000
Ameerpet,67.6061
"Sri Hanuman Nagar Colony",65.0000
Bowenpally,74.5000
Yousufguda,68.0000
"Sanjeeva Reddy Nagar",68.3333
Tolichowki,67.1176
Begumpet,65.8333
Chandrayangutta,67.0000
"Shivaji Nagar",61.2500
"Jubilee Hills",74.0000
"Vijay Nagar Colony",68.0000
"Kharkhana & Trimulgherry",71.5000
Balkampet,66.0000
Nacharam,69.5000
"Brindavan Colony",68.0000
Malkajgiri,82.0000
"New Gayatri Nagar",70.5000
"Lb Nagar",77.0000
Chanakyapuri,64.0000
"Gunrock Enclave",65.0000
Hakimpet,64.0000
"Golconda Fort",81.5000
Peerzadiguda,85.0000
"Sri Sai Tarun Enclave",65.0000
"Sarvodaya Colony",74.0000
"Tarnaka  Nacharam & Malkajigiri",70.0000
"Tarnaka Nacharam & Malkajigiri",71.5000
"A.S. Rao Nagar & Sainikpuri",83.5000
"Tolichowki Hps Kids School Opposite",83.0000
Vanasthalipuram,76.3333
Secunderabad,76.5000
" Begumpet",67.0000
"Gaddi Annaram",69.0000
"Gunti Jangaiah Nagar",63.0000
"Sri Durga Enclave",62.0000
"Kalyan Nagar X Roads",71.0000
"Padma Nagar Colony",67.0000
"Uppal - Hyderabad",72.0000
"Bhavani Nagar Uppal - Hyderabad",74.0000
Jillelaguda,64.0000
