Restaurant,TotalSales
Palace Heights,1700
Bluefox,1600
Mashallah Bait Al Mandi The Arabian Restaurant,1600
Kritunga Restaurant,1500
Haiku,1500
Flying Spaghetti Monster,1500
24/7 Gallery Cafe - Hyatt Place Hyderabad,1500
Ocean'S Basket,1500
The Mahboob Biryani,1500
As Bakers,1400
Chef Inam'S Steak House,1200
Radisson Blu Plaza Delivery,1200
Ohri'S Cake Nation,1200
By The Bay,1200
Oven Story Pizza,1200
Little Italy,1200
Headquarters,1100
Exotica,1000
Aromas Of Asia,1000
Sahib Sindh Sultan,1000
Silver Salt,1000
Diamond Pan Shop,1000
Arabella House Of Arabic & Lebanese Cuisine,1000
Okra - Marriott,1000
Haiking Chinese Restaurant,1000
Mandi @36,1000
Ciro'S Pizzeria,1000
Hard Rock Cafe Hyderabad,900
Spice 6 Global Dining,900
Pista House Restaurant,900
Chinese Pavilion,850
Kabul Darbar,850
So. The Sky Kitchen,800
Paradise Biryani,800
4 Seasons,800
Lucky'S Biryani House,800
Kfc,800
Euphoria,800
Express Cafe By Holiday Inn Express,800
Occasionkart.Com,800
Zouq Fusion Foods,800
Nue Cafe,800
Punjab National Hotel,800
Almond House,800
The Platinum Hotel-Clove,800
Ibaco,800
Kinara Grand,750
Shahi Zaiqa,750
Shahi Rasoi Multicuisine Family Restaurant,750
Haldirams,750
Burger King,700
N Village,700
Shah Ghouse Cafe & Restaurant,700
La Pino'Z Pizza,700
Arancini,700
Trio La Patisserie,700
Walima Ki Dawat,700
A Bleu Basil,700
Pizza Hut,650
Balaji Family Dhaba,650
Ohri'S Eatmor,600
Taste Of India,600
Cafe Coffee Day,600
Mohammedia Shawarma,600
Palamuru Grill,600
Nanking C.R - Estd 1957,600
Barbeque Nation,600
Chef'S Sandwich,600
Burger Dude'S,600
Pange'S Pizza,600
Blenders & Coolers,600
Best Pasta,600
Urban Monk Fine Baking,600
Chichore Cafe,600
Abu Faisal Restaurant Arabian Food,600
Gourmet Gully,600
Awesome Dimsum,600
Cream Stone,600
Spice Garden (Royal Reve Hotel),600
G Pulla Reddy Sweets,600
Saarangi Restaurant,590
Makers Of Milkshakes,560
Verandah-The Park Hyderabad,550
Subbayya Gari Hotel,550
Baskin Robbins,550
Aangan - Yatri Nivas,500
Ohri'S Ming'S Court,500
Minerva Coffee Shop,500
Tipsy Topsy,500
Meghacity,500
Suruchi - The Family Restaurant,500
Shadab Go,500
Amaravathi Family Restaurant,500
Spicy Hub,500
Papadams Blue,500
Papadams Restaurant,500
A-1 Chicken Pakoda,500
Fitmeals,500
Hotel Sohail Waves,500
The Chocolate Room,500
Capital Multi Cuisine Restaurant,500
Skypark Cafe,500
Huber & Holly,500
Feranoz,500
Mandar Restaurant,500
Quik Cakes.,500
Behrouz Biryani,500
Mandi King Arabian Restaurant,500
Iqbatan Restaurant,500
Voulga Restaurant,500
Devikas Kitchen - Multi Cuisine,500
Nasheman Hotel  Altaf Bakery,500
Gullu Dada'S Biryani,500
Mendy'S Burger,500
Hotel Rajdhani,500
Penang,500
Gol Panipuri,500
Monginis,500
The Indiway,500
The Burger Chefs,500
Theobroma,500
Ab'S-Absolute Barbecues,500
The Bedford Bakehouse And Tearoom,500
Manu S Kitchen,500
Potful - Claypot Biryanis,500
Swiss Castle,500
Mr Chef Mandi House,500
Theboardgamecafe,500
Soul Kitchen,500
A M Shah Haleem,500
Manus Kitchen Tiffins,500
Nallibokka Muttonmukka,500
Chutneys,500
Bikanervala,500
Scoops,500
Sivarama Reddy Sweets,500
China Express & Sizzling Joe,500
Kamat Hotel,500
Masala Republic,500
Stikstof,500
Shree Sweets And Naamkeen,499
Gully Lounge,493
The Hide Away Cafe,480
Rayalaseema Ruchulu,450
New Astoria Restaurant,450
Mandilicious,450
Cafe Graffiti Pizzeria,450
Sampradaya Foods,450
Ghrelin - Cafe And Patisserie,450
Abids Bistro  Royalton Hotel,450
Hotel Niagara,450
Sweet Truth - Cake And Desserts,450
Baithak,450
Bakers S Street,450
Makhani Pizzeria,450
A'La Liberty,450
Ice N Spice (Hotel Inner Circle),450
Balaji Family Dhaba & Caterers,450
Aamantran Pure Veg,450
Veggie Chinese,450
Mahalaxmi Tiffin Centre,450
Arabian Mandi House,420
Dine Hill,400
Sarvi Restaurant,400
Shahji Ka Dhaba,400
Mcdonald'S,400
Meridian Restaurant,400
Ayaan'S Bbq & Mataam Mandi,400
Italian Pizzeria Creamato,400
Pista House,400
Domino'S Pizza,400
Al Madina Mandi House,400
Waffle House,400
Amaravathi Restaurant,400
The Belgian Waffle Co.,400
Sofrehh Persian Bistro,400
Karachi Bakery,400
Wokstars,400
Mithaiwala,400
Hotel Shadab,400
Dairy Den,400
Zafar'S Fine Dine,400
Starbucks Coffee,400
Lazzat Restaurant,400
Ohri'S Uppu,400
